City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date - Time
0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
159,the pas,1,CA,1528902000,63,53.82,-101.24,60.8,10.29,6/13/18 3:00 PM
160,masalli,12,KR,1528902000,77,34.8,126.66,68,9.17,6/13/18 3:00 PM
161,talnakh,20,RU,1528905398,100,69.49,88.39,42.79,3.18,6/13/18 3:56 PM
162,ilulissat,90,GL,1528901400,97,69.22,-51.1,32,4.7,6/13/18 2:50 PM
163,vallenar,0,CL,1528905399,56,-28.58,-70.76,54.4,1.28,6/13/18 3:56 PM
164,cap-aux-meules,40,CA,1528902000,62,47.38,-61.86,51.8,20.8,6/13/18 3:00 PM
165,san quintin,90,PH,1528902000,100,17.54,120.52,77,13.87,6/13/18 3:00 PM
166,victoria,75,BN,1528902000,94,5.28,115.24,80.6,1.12,6/13/18 3:00 PM
167,okhotsk,12,RU,1528905400,100,59.36,143.24,38.02,2.17,6/13/18 3:56 PM
168,bonavista,92,CA,1528905401,82,48.65,-53.11,46.57,22.97,6/13/18 3:56 PM
169,manokwari,80,ID,1528905401,100,-0.87,134.08,78.07,8.1,6/13/18 3:56 PM
170,lebu,92,ET,1528905404,100,8.96,38.73,55.3,0.72,6/13/18 3:56 PM
171,qostanay,75,KZ,1528902000,54,53.17,63.58,59,6.71,6/13/18 3:00 PM
172,victor harbor,75,AU,1528902000,82,-35.55,138.62,55.4,17.22,6/13/18 3:00 PM
173,kamenka,12,RU,1528905405,98,53.19,44.05,61.6,9.44,6/13/18 3:56 PM
174,cherskiy,8,RU,1528905405,48,68.75,161.3,55.21,3.18,6/13/18 3:56 PM
175,kimbe,92,PG,1528905405,100,-5.56,150.15,78.43,6.64,6/13/18 3:56 PM
176,guba,75,PH,1528902000,74,10.43,123.89,84.2,8.05,6/13/18 3:00 PM
177,inuvik,40,CA,1528902000,53,68.36,-133.71,51.8,3.36,6/13/18 3:00 PM
178,jiazi,20,CN,1528902000,78,19.61,110.49,82.4,4.47,6/13/18 3:00 PM
179,namatanai,76,PG,1528905407,100,-3.66,152.44,78.07,11.68,6/13/18 3:56 PM
180,port elizabeth,90,US,1528903500,83,39.31,-74.98,75.2,9.17,6/13/18 3:25 PM
181,chilca,75,PE,1528903800,47,-13.22,-72.34,55.4,3.36,6/13/18 3:30 PM
182,tual,68,ID,1528905408,100,-5.67,132.75,79.78,12.12,6/13/18 3:56 PM
183,puerto colombia,40,CO,1528902000,74,10.99,-74.96,87.8,6.93,6/13/18 3:00 PM
184,muzhi,0,RU,1528905409,63,65.4,64.7,55.57,10.67,6/13/18 3:56 PM
185,tabuk,92,PH,1528905413,86,17.41,121.44,72.4,1.83,6/13/18 3:56 PM
186,palauig,92,PH,1528905413,100,15.44,119.9,74.11,10.67,6/13/18 3:56 PM
187,komsomolskiy,0,RU,1528905413,84,67.55,63.78,37.39,9.22,6/13/18 3:56 PM
188,atuona,44,PF,1528905298,100,-9.8,-139.03,79.6,12.91,6/13/18 3:54 PM
189,sinnamary,92,GF,1528905414,100,5.38,-52.96,75.19,3.4,6/13/18 3:56 PM
190,kavieng,92,PG,1528905414,100,-2.57,150.8,78.97,5.41,6/13/18 3:56 PM
191,moron,0,VE,1528905415,70,10.49,-68.2,81.67,3.06,6/13/18 3:56 PM
192,fortuna,20,ES,1528903800,64,38.18,-1.13,86,12.75,6/13/18 3:30 PM
193,pangnirtung,90,CA,1528902000,93,66.15,-65.72,35.6,4.7,6/13/18 3:00 PM
194,paamiut,68,GL,1528905416,100,61.99,-49.67,35.32,12.46,6/13/18 3:56 PM
195,juegang,36,CN,1528905417,76,32.31,121.18,75.28,16.6,6/13/18 3:56 PM
196,kiama,0,AU,1528905418,86,-34.67,150.86,50.44,6.87,6/13/18 3:56 PM
197,yamada,20,JP,1528902000,72,36.58,137.08,60.8,14.99,6/13/18 3:00 PM
198,russell,0,AR,1528902000,48,-33.01,-68.8,42.8,3.36,6/13/18 3:00 PM
199,port hawkesbury,1,CA,1528902000,63,45.62,-61.36,64.4,16.11,6/13/18 3:00 PM
200,naze,75,NG,1528902000,62,5.43,7.07,89.6,9.17,6/13/18 3:00 PM
201,namibe,0,AO,1528905419,89,-15.19,12.15,74.02,17.49,6/13/18 3:56 PM
202,lodja,0,CD,1528905419,20,-3.52,23.6,94.36,4.97,6/13/18 3:56 PM
203,basco,1,US,1528904100,44,40.33,-91.2,77,13.87,6/13/18 3:35 PM
204,suleja,20,NG,1528905420,74,9.18,7.18,87.34,2.95,6/13/18 3:57 PM
205,tazovskiy,12,RU,1528905420,60,67.47,78.7,67.72,14.81,6/13/18 3:57 PM
206,waterloo,75,CA,1528902000,78,43.47,-80.52,75.2,12.75,6/13/18 3:00 PM
207,kruisfontein,0,ZA,1528905421,47,-34,24.73,75.82,8.43,6/13/18 3:57 PM
208,hithadhoo,12,MV,1528905421,100,-0.6,73.08,83.65,6.42,6/13/18 3:57 PM
209,aqtobe,0,KZ,1528902000,24,50.28,57.21,71.6,6.71,6/13/18 3:00 PM
210,trinidad,75,UY,1528902000,76,-33.52,-56.9,50,17.22,6/13/18 3:00 PM
211,jasper,12,US,1528904100,83,33.83,-87.28,78.8,5.19,6/13/18 3:35 PM
212,tempio pausania,40,IT,1528903800,77,40.9,9.1,69.8,11.41,6/13/18 3:30 PM
213,kununurra,75,AU,1528902000,73,-15.77,128.74,73.4,5.82,6/13/18 3:00 PM
214,zhob,0,PK,1528905423,10,31.34,69.45,80.95,5.64,6/13/18 3:57 PM
215,los llanos de aridane,20,ES,1528903800,60,28.66,-17.92,73.4,12.75,6/13/18 3:30 PM
216,nohar,0,IN,1528905423,22,29.18,74.77,98.5,9.55,6/13/18 3:57 PM
217,sainte-suzanne,76,CH,1528903800,48,47.51,6.77,66.2,10.29,6/13/18 3:30 PM
218,crotone,0,IT,1528901400,42,39.09,17.12,82.4,23.04,6/13/18 2:50 PM
219,gambela,92,ET,1528905424,94,8.25,34.59,68.62,2.95,6/13/18 3:57 PM
220,kavaratti,80,IN,1528905424,100,10.57,72.64,81.67,22.64,6/13/18 3:57 PM
221,ust-ilimsk,12,RU,1528905425,87,57.96,102.73,60.61,1.95,6/13/18 3:57 PM
222,leo,0,BF,1528905429,66,11.1,-2.1,94.72,4.63,6/13/18 3:57 PM
223,totolapan,75,MX,1528902840,77,18.99,-98.92,59,5.82,6/13/18 3:14 PM
224,funtua,44,NG,1528905429,50,11.52,7.31,90.67,2.17,6/13/18 3:57 PM
225,salalah,75,OM,1528901400,89,17.01,54.1,84.2,10.29,6/13/18 2:50 PM
226,burnie,92,AU,1528905430,100,-41.05,145.91,51.88,21.07,6/13/18 3:57 PM
227,boulder city,1,US,1528902900,11,35.98,-114.83,89.6,3.51,6/13/18 3:15 PM
228,massakory,0,TD,1528905431,46,13,15.73,100.21,6.98,6/13/18 3:57 PM
229,arlit,0,NE,1528905432,14,18.74,7.39,110.92,4.74,6/13/18 3:57 PM
230,zhigansk,0,RU,1528905432,56,66.77,123.37,56.83,4.97,6/13/18 3:57 PM
231,florianopolis,40,BR,1528902000,64,-27.6,-48.55,69.8,3.36,6/13/18 3:00 PM
