,O,C,E,A,N,Cluster
114,6.800000000000001,6.799999999999999,4.800000000000001,8.6,6.4,1
115,9.4,6.800000000000001,5.6,6.800000000000001,7.0,0
116,9.6,6.3999999999999995,9.2,5.0,6.8,2
117,8.2,10.0,3.1999999999999993,7.199999999999999,6.400000000000001,1
118,5.6,7.6,5.800000000000001,9.6,5.600000000000001,1
119,9.0,7.199999999999999,6.8,8.799999999999999,3.2,4
120,9.8,8.4,8.6,8.4,3.4000000000000004,4
121,6.8,4.8,9.0,4.6,7.2,2
122,7.6,6.2,4.8,8.2,7.799999999999999,0
123,6.4,9.6,4.0,7.799999999999999,7.0,1
124,8.2,5.199999999999999,7.6,5.2,5.6000000000000005,3
125,7.599999999999999,4.800000000000001,7.399999999999999,7.999999999999999,7.799999999999999,2
126,8.4,8.2,6.4,9.399999999999999,5.2,4
127,9.399999999999999,6.2,5.6,5.800000000000001,8.6,0
128,8.6,6.4,8.4,7.999999999999999,4.4,4
129,9.399999999999999,8.6,9.200000000000001,9.8,3.400000000000001,4
130,7.199999999999999,3.8,5.2,5.800000000000001,7.0,0
131,8.6,6.8,8.6,8.8,8.2,2
132,7.000000000000002,7.0,3.8,6.4,5.6,3
133,7.199999999999999,8.0,5.800000000000001,8.4,3.6,1
134,8.2,5.6,9.4,7.799999999999999,6.0,2
135,9.2,6.799999999999999,6.0,5.6000000000000005,7.0,3
136,7.3999999999999995,7.6,6.2,8.6,4.400000000000001,1
137,7.800000000000001,5.199999999999999,10.0,9.0,7.999999999999999,2
138,8.8,3.2,5.6,9.399999999999999,6.6000000000000005,2
139,6.6,7.599999999999999,4.0,4.000000000000001,7.6000000000000005,3
140,9.0,9.6,6.2,9.0,6.200000000000001,1
141,10.0,9.0,8.200000000000001,9.4,5.0,4
142,6.999999999999999,4.3999999999999995,7.999999999999998,9.2,4.6,4
143,7.999999999999999,6.6,4.6,4.999999999999999,8.4,0
144,8.2,8.0,7.799999999999999,8.399999999999999,6.800000000000001,2
145,7.399999999999999,4.800000000000001,8.0,5.4,6.8,2
146,9.0,6.0,6.199999999999999,10.0,4.000000000000001,4
147,7.4,5.6,8.799999999999999,7.999999999999999,5.0,4
148,8.799999999999999,7.3999999999999995,5.800000000000001,8.2,5.800000000000001,1
149,7.0,5.8,6.999999999999998,8.0,5.200000000000001,2
150,5.6,5.0,8.8,8.6,7.4,2
